kind,mean_k,beta,rho,stderr
mmca,6,0,6.5090944e-15,0.0
mmca,6,0.0875,3.9608372e-13,0.0
mmca,6,0.175,2.8478421e-12,0.0
mmca,6,0.2625,0.45165546,0.0
mmca,6,0.35,0.51144494,0.0
mmca,6,0.4375,0.55527735,0.0
mmca,6,0.525,0.58968422,0.0
mmca,6,0.6125,0.61777912,0.0
mmca,6,0.7,0.64133581,0.0
mc,6,0,0.022914046,0.012868583
mc,6,0.0875,0.070398323,0.02674059
mc,6,0.175,0.13746331,0.06082428
mc,6,0.2625,0.41115304,0.0081360358
mc,6,0.35,0.51291405,0.015920827
mc,6,0.4375,0.5709434,0.0074596604
mc,6,0.525,0.61947589,0.0048995195
mc,6,0.6125,0.63582809,0.0070371273
mc,6,0.7,0.65649895,0.0040147161
mmca,9,0,6.5090944e-15,0.0
mmca,9,0.0875,1.2287868e-12,0.0
mmca,9,0.175,0.4511448,0.0
mmca,9,0.2625,0.53416094,0.0
mmca,9,0.35,0.58889109,0.0
mmca,9,0.4375,0.62913675,0.0
mmca,9,0.525,0.66046535,0.0
mmca,9,0.6125,0.68575597,0.0
mmca,9,0.7,0.70670443,0.0
mc,9,0,0.011865828,0.0022514005
mc,9,0.0875,0.067002096,0.014885803
mc,9,0.175,0.35371069,0.12144164
mc,9,0.2625,0.59545073,0.0018938837
mc,9,0.35,0.64044025,0.0033618887
mc,9,0.4375,0.66492662,0.0068158357
mc,9,0.525,0.70121593,0.00096367672
mc,9,0.6125,0.70825996,0.0054358368
mc,9,0.7,0.73907757,0.0021571909
mmca,12,0,6.5090944e-15,0.0
mmca,12,0.0875,2.978347e-12,0.0
mmca,12,0.175,0.51052465,0.0
mmca,12,0.2625,0.58849594,0.0
mmca,12,0.35,0.63992497,0.0
mmca,12,0.4375,0.67734509,0.0
mmca,12,0.525,0.70612121,0.0
mmca,12,0.6125,0.72907513,0.0
mmca,12,0.7,0.74787499,0.0
mc,12,0,0.026289308,0.014542997
mc,12,0.0875,0.1936478,0.10395342
mc,12,0.175,0.55991614,0.0076642158
mc,12,0.2625,0.64857442,0.0060799899
mc,12,0.35,0.68501048,0.0047972669
mc,12,0.4375,0.72134172,0.0035119528
mc,12,0.525,0.73859539,0.0045074838
mc,12,0.6125,0.7609434,0.0025321789
mc,12,0.7,0.77563941,0.0036990068
