kind,beta,t,rho_i,rho_s
mmca,0.08,0,0.3,0.7
mmca,0.08,1,0.32814155,0.67185845
mmca,0.08,2,0.36055581,0.63944419
mmca,0.08,3,0.39727455,0.60272545
mmca,0.08,4,0.43775413,0.56224587
mmca,0.08,5,0.48057884,0.51942116
mmca,0.08,6,0.5232938,0.4767062
mmca,0.08,7,0.56261361,0.43738639
mmca,0.08,8,0.59514239,0.40485761
mmca,0.08,9,0.61835318,0.38164682
mmca,0.08,10,0.63124838,0.36875162
mmca,0.08,11,0.63433248,0.36566752
mmca,0.08,12,0.62908068,0.37091932
mmca,0.08,13,0.61733599,0.38266401
mmca,0.08,14,0.60089453,0.39910547
mmca,0.08,15,0.58130431,0.41869569
mmca,0.08,16,0.55980586,0.44019414
mmca,0.08,17,0.5373453,0.4626547
mmca,0.08,18,0.51461654,0.48538346
mmca,0.08,19,0.49211028,0.50788972
mmca,0.08,20,0.47015994,0.52984006
mmca,0.08,21,0.44898055,0.55101945
mmca,0.08,22,0.42870009,0.57129991
mmca,0.08,23,0.40938379,0.59061621
mmca,0.08,24,0.39105271,0.60894729
mmca,0.08,25,0.37369746,0.62630254
mmca,0.08,26,0.3572884,0.6427116
mmca,0.08,27,0.34178298,0.65821702
mmca,0.08,28,0.32713106,0.67286894
mmca,0.08,29,0.31327857,0.68672143
mmca,0.08,30,0.30017018,0.69982982
mmca,0.08,31,0.28775103,0.71224897
mmca,0.08,32,0.2759679,0.7240321
mmca,0.08,33,0.26477,0.73523
mmca,0.08,34,0.25410933,0.74589067
mmca,0.08,35,0.243941,0.756059
mmca,0.08,36,0.23422327,0.76577673
mmca,0.08,37,0.2249176,0.7750824
mmca,0.08,38,0.21598851,0.78401149
mmca,0.08,39,0.20740357,0.79259643
mmca,0.08,40,0.19913321,0.80086679
mmca,0.08,41,0.19115065,0.80884935
mmca,0.08,42,0.18343173,0.81656827
mmca,0.08,43,0.17595481,0.82404519
mmca,0.08,44,0.16870065,0.83129935
